dist,sum_deg
3,63
2,287
2,776
2,93
3,124
4,42
8,3
2,51
5,7
2,21
2,102
2,170
2,649
2,892
2,233
3,61
6,16
2,91
2,150
2,154
2,134
10,6
2,58
2,92
3,70
4,77
2,120
2,122
4,56
5,16
4,9
8,15
5,22
2,95
2,39
-1,3
6,48
3,44
2,1062
7,10
2,85
2,204
5,23
6,8
4,89
3,133
4,55
2,31
3,14
4,78
6,6
2,28
2,45
2,37
2,105
5,13
2,351
2,122
4,35
2,142
3,28
2,110
2,95
2,127
2,851
2,145
2,83
5,11
2,31
2,227
3,62
2,159
2,810
5,21
2,108
3,56
2,153
2,111
2,63
4,77
2,14
2,190
5,48
3,52
2,125
2,103
2,126
2,391
3,48
2,394
5,34
2,44
3,100
-1,1
2,40
2,925
2,117
-1,10
-1,47
4,107
2,92
5,28
4,81
2,98
2,75
2,413
2,628
4,17
3,17
3,47
2,9
2,50
2,111
4,31
2,11
4,45
2,185
3,64
3,65
2,57
2,131
8,12
4,42
2,15
2,257
2,6
2,55
2,171
5,8
2,37
2,116
2,54
7,17
3,14
2,35
5,12
2,108
2,122
4,27
-1,10
3,30
5,25
2,553
5,16
2,95
2,139
2,88
6,10
4,78
3,22
4,14
2,17
2,74
3,12
4,102
2,66
6,5
2,42
4,9
2,312
2,248
3,17
6,10
4,27
5,58
2,72
2,183
2,162
2,1881
2,16
5,18
-1,3
2,108
5,28
6,10
3,71
5,17
2,71
2,26
2,621
5,25
3,32
4,29
3,71
3,129
2,65
4,116
-1,353
2,121
4,40
7,9
2,67
4,44
2,98
4,49
2,56
2,175
2,35
3,89
5,12
2,48
2,71
4,18
2,59
5,26
2,81
3,86
3,24
3,64
6,7
2,62
2,85
2,219
2,221
2,64
5,18
2,35
2,52
4,63
2,107
3,74
2,87
2,82
5,20
2,75
2,239
5,53
4,8
4,17
2,110
2,282
5,19
2,8
2,298
4,23
2,251
2,18
2,106
2,83
2,177
2,13
2,131
2,14
2,24
3,61
2,65
2,28
2,26
5,42
2,94
2,111
2,58
5,36
2,298
3,46
4,34
2,43
6,5
4,35
6,16
2,126
2,15
2,155
2,330
8,3
-1,3
5,39
2,105
2,22
2,69
4,9
3,30
6,6
2,199
-1,18
2,24
-1,31
2,10
-1,2
3,48
2,42
3,49
2,161
3,45
6,9
2,297
2,314
2,77
4,30
2,1907
2,1014
6,11
3,92
4,31
5,39
4,71
4,38
2,52
2,124
3,31
2,67
7,4
2,103
2,82
2,98
2,1015
6,7
2,94
6,9
2,51
2,245
2,52
7,10
2,111
6,19
2,945
-1,17
4,31
3,8
2,68
2,70
3,70
2,13
5,13
2,191
2,377
5,16
2,131
2,1048
2,87
2,101
6,11
3,57
2,71
2,56
6,12
5,16
2,20
2,130
4,35
2,161
4,46
2,186
2,121
2,96
2,68
2,102
4,3
3,232
4,36
5,18
4,84
4,19
3,56
2,36
2,24
8,4
4,56
5,37
2,74
2,27
2,96
3,64
2,110
2,54
2,54
2,745
6,25
2,174
6,8
4,91
4,14
2,71
4,24
3,26
6,9
2,95
2,279
2,61
-1,21
-1,106
2,136
2,218
2,119
2,130
4,24
2,87
2,117
2,12
4,55
4,42
2,107
2,39
6,4
2,29
6,26
6,15
2,41
2,97
6,14
4,9
5,44
3,35
4,26
5,13
2,44
5,15
2,1269
-1,7
2,1929
2,8
2,175
2,34
6,12
3,57
3,85
-1,10
5,25
3,94
2,93
4,35
2,253
3,92
2,59
2,174
5,15
3,55
2,312
5,30
2,252
6,20
2,325
-1,26
4,56
2,51
2,83
5,16
2,282
2,38
2,57
6,12
2,14
3,12
3,70
2,88
2,281
4,48
4,22
4,40
2,74
2,22
2,403
2,342
2,98
2,26
2,58
2,29
4,36
3,215
5,12
3,42
2,89
2,27
5,23
4,33
4,22
2,127
5,22
2,97
3,17
2,40
7,19
2,15
2,37
5,4
5,12
2,65
5,12
2,18
2,184
2,71
2,278
6,16
4,13
2,692
5,32
2,22
6,61
2,67
-1,15
2,99
2,181
5,41
3,100
8,11
2,34
3,36
6,21
2,71
2,57
2,59
4,76
2,67
5,78
4,42
2,263
4,99
3,51
10,5
5,27
3,37
4,51
2,90
5,19
2,43
7,13
5,51
6,5
3,70
5,21
2,42
2,89
4,27
6,28
2,354
3,52
