dist,sum_deg
2,12
2,173
6,5
3,30
3,27
2,60
2,649
4,82
2,118
5,26
5,17
3,17
4,42
3,27
4,7
5,15
3,64
2,97
2,87
4,26
5,25
3,51
2,1938
2,106
2,28
-1,3
4,37
5,29
2,999
3,105
2,57
5,6
2,38
2,56
2,145
2,247
2,129
3,117
2,101
2,138
4,39
4,10
3,26
2,65
6,13
5,37
3,33
2,114
2,46
5,6
2,14
2,34
2,183
2,573
4,52
5,31
4,96
2,127
6,44
2,187
2,199
2,66
2,66
4,50
3,105
2,115
2,93
2,83
2,210
2,119
5,25
3,38
2,7
5,34
3,128
2,53
4,28
2,43
4,33
5,17
2,1093
2,208
2,79
5,31
2,132
2,36
2,41
2,162
5,45
2,31
2,108
2,66
-1,41
2,279
2,14
4,21
2,36
4,37
5,38
2,41
2,75
2,22
2,179
3,84
3,34
2,698
2,38
2,296
2,169
2,113
7,6
2,142
2,98
3,97
2,55
5,27
7,6
2,47
3,40
2,52
2,48
3,13
2,82
2,1902
2,94
2,196
2,95
3,9
5,59
5,19
2,92
3,179
2,115
2,351
2,48
2,27
2,44
2,79
4,24
2,35
4,51
3,31
6,11
4,3
2,236
5,15
4,44
2,89
2,24
2,169
3,140
3,120
4,17
2,68
2,54
7,10
2,68
5,18
2,33
2,147
2,100
2,21
6,4
7,31
2,116
4,56
5,24
3,73
2,135
2,34
2,54
2,51
4,18
2,33
2,100
2,24
2,94
5,16
5,171
-1,1
2,35
5,20
2,930
4,32
2,60
4,13
2,88
6,13
2,116
2,948
2,168
5,60
3,55
3,101
-1,12
-1,7
2,58
4,31
2,423
2,167
2,33
7,29
2,379
3,111
5,6
6,39
5,22
2,100
2,125
3,135
7,4
2,245
2,62
5,12
-1,26
5,25
2,134
2,74
5,15
2,5
2,96
2,65
5,14
4,39
4,78
4,27
4,59
3,35
2,25
4,75
5,10
-1,6
2,231
6,12
2,159
2,332
2,26
2,46
2,45
4,22
5,13
4,12
2,259
4,73
5,11
3,49
2,952
4,53
4,36
2,17
2,73
2,34
3,51
2,108
2,153
2,100
2,103
4,17
6,13
2,115
6,14
-1,4
2,126
2,58
2,16
4,28
2,130
2,79
2,95
2,74
2,252
4,36
6,11
2,71
2,89
3,29
4,57
5,19
3,275
2,61
5,57
2,151
3,107
5,30
2,72
2,107
4,41
4,55
2,43
2,67
4,19
7,2
2,69
2,178
6,40
3,40
2,8
5,37
5,17
2,63
3,44
4,35
2,35
2,103
3,41
2,98
4,17
3,77
3,34
2,73
6,12
3,83
5,8
2,857
2,84
2,44
3,45
2,108
2,48
5,25
5,72
5,38
3,19
2,114
3,29
2,90
6,10
2,88
2,36
2,123
4,21
2,117
6,9
2,22
2,198
2,89
9,3
2,201
-1,51
2,47
2,112
5,40
6,17
5,14
2,238
2,48
4,33
-1,3
4,48
3,17
3,73
2,133
2,108
3,34
2,26
2,16
3,136
4,18
-1,6
2,797
2,7
-1,0
4,53
2,116
4,110
2,210
3,86
2,36
2,28
2,34
2,130
2,116
3,34
6,9
3,88
3,90
2,28
2,281
4,24
2,90
2,50
6,31
2,25
2,106
9,2
2,61
3,44
2,37
2,20
2,41
4,14
4,38
4,59
5,14
4,37
5,11
4,53
4,42
13,3
5,41
5,20
8,5
2,65
2,817
4,49
-1,9
6,10
2,27
5,53
2,1388
6,20
8,10
2,21
2,64
3,127
4,26
3,56
2,351
3,54
2,127
2,69
2,174
2,184
2,67
4,45
2,14
2,114
-1,23
2,31
5,24
2,105
2,30
2,22
2,642
2,64
2,71
5,76
2,139
2,60
4,34
2,60
4,34
2,68
5,32
3,31
3,58
4,13
2,29
4,15
2,17
4,44
2,66
6,40
4,35
3,8
2,72
2,630
4,29
2,69
4,26
5,19
4,23
2,42
4,102
3,34
2,181
2,411
2,164
2,58
2,32
5,40
2,72
-1,15
2,50
2,84
2,111
5,18
4,45
4,56
6,33
2,124
2,106
3,55
2,181
2,127
5,21
2,8
2,44
4,31
2,305
2,128
3,89
2,70
2,53
2,37
2,11
2,66
2,324
4,23
4,9
6,4
2,61
2,89
2,100
-1,43
2,210
3,32
2,60
4,18
2,73
5,20
2,39
3,15
3,19
2,85
2,44
2,75
4,14
2,58
4,30
5,5
2,88
4,19
3,48
4,60
2,108
2,85
4,40
2,848
3,108
2,74
4,23
2,42
6,4
2,19
2,13
5,56
4,42
2,60
2,146
5,17
2,44
2,1901
5,55
4,36
5,31
4,30
2,184
2,101
2,97
2,51
2,50
2,68
4,119
2,103
4,59
7,7
2,138
2,186
2,129
2,86
2,123
2,158
5,11
3,48
2,43
2,17
2,55
2,37
4,50
2,75
3,116
2,316
2,82
4,33
3,34
4,15
5,39
2,240
2,106
3,24
2,26
5,40
2,959
5,19
2,117
3,71
2,300
2,38
4,31
2,294
5,27
10,3
4,12
2,72
4,26
